ep,delta_required,success,status,message
23,0.639564373510191,True,0,Optimization terminated successfully
23,0.31977573119062735,True,0,Optimization terminated successfully
23,0.3039896974938256,True,0,Optimization terminated successfully
23,0.2777019560601809,True,0,Optimization terminated successfully
23,0.46643966532827413,True,0,Optimization terminated successfully
23,0.4305247389323567,True,0,Optimization terminated successfully
23,0.7021704252644707,True,0,Optimization terminated successfully
23,0.33655615723233856,True,0,Optimization terminated successfully
23,0.7944003435115007,True,0,Optimization terminated successfully
23,0.5040755633090482,True,0,Optimization terminated successfully
23,0.8214004008134831,True,0,Optimization terminated successfully
23,0.4526307822734452,True,0,Optimization terminated successfully
23,0.8461723488277803,True,0,Optimization terminated successfully
23,0.47582689322501126,True,0,Optimization terminated successfully
23,0.27234044514396155,True,0,Optimization terminated successfully
23,0.5699672906116059,True,0,Optimization terminated successfully
23,0.6062311147197113,True,0,Optimization terminated successfully
23,0.25577911931794073,True,0,Optimization terminated successfully
23,0.7928769119364436,True,0,Optimization terminated successfully
23,0.3878832368030705,True,0,Optimization terminated successfully
23,0.5991419622099068,True,0,Optimization terminated successfully
23,0.2946857009415668,True,0,Optimization terminated successfully
23,0.8777365650210149,True,0,Optimization terminated successfully
23,0.6091068541372248,True,0,Optimization terminated successfully
23,0.1784831538106895,True,0,Optimization terminated successfully
23,0.9467807705662882,True,0,Optimization terminated successfully
23,0.8240980963203289,True,0,Optimization terminated successfully
23,0.7744968151901487,True,0,Optimization terminated successfully
23,0.35398635933331624,True,0,Optimization terminated successfully
23,0.5491387817922061,True,0,Optimization terminated successfully
23,0.333957153599462,True,0,Optimization terminated successfully
23,0.8488033540741613,True,0,Optimization terminated successfully
23,0.4119195773965752,True,0,Optimization terminated successfully
23,0.34631630401118835,True,0,Optimization terminated successfully
23,0.9913602012639365,True,0,Optimization terminated successfully
23,0.7196478837301078,True,0,Optimization terminated successfully
23,0.2561144596164272,True,0,Optimization terminated successfully
23,0.9419918444451706,True,0,Optimization terminated successfully
23,0.7311043634930129,True,0,Optimization terminated successfully
23,1.0022888301807125,True,0,Optimization terminated successfully
23,0.5820492997495695,True,0,Optimization terminated successfully
23,0.3799659990066207,True,0,Optimization terminated successfully
23,0.8185296874213537,True,0,Optimization terminated successfully
23,0.3607935225532805,True,0,Optimization terminated successfully
23,0.5995534391867252,True,0,Optimization terminated successfully
23,0.7418975943116071,True,0,Optimization terminated successfully
23,0.26831317965018886,True,0,Optimization terminated successfully
23,0.4543303414420052,True,0,Optimization terminated successfully
23,0.4726516896928506,True,0,Optimization terminated successfully
23,0.3874610713061441,True,0,Optimization terminated successfully
23,0.5820746968239612,True,0,Optimization terminated successfully
23,0.3864001088133691,True,0,Optimization terminated successfully
23,0.7549497807070217,True,0,Optimization terminated successfully
23,0.31125391810067926,True,0,Optimization terminated successfully
23,0.8540503528537368,True,0,Optimization terminated successfully
23,0.37499470987548844,True,0,Optimization terminated successfully
23,0.8315061590105554,True,0,Optimization terminated successfully
23,0.4347933996212043,True,0,Optimization terminated successfully
23,0.7902304359452719,True,0,Optimization terminated successfully
23,0.3048005746827842,True,0,Optimization terminated successfully
23,0.5390821661893604,True,0,Optimization terminated successfully
23,0.707832012437714,True,0,Optimization terminated successfully
23,0.5150014928065341,True,0,Optimization terminated successfully
23,0.6128903540384244,True,0,Optimization terminated successfully
23,0.3634589385986739,True,0,Optimization terminated successfully
23,0.8787298622184604,True,0,Optimization terminated successfully
23,0.3367936622493111,True,0,Optimization terminated successfully
23,0.620497148948423,True,0,Optimization terminated successfully
23,0.36857350780734566,True,0,Optimization terminated successfully
23,0.7312613935242848,True,0,Optimization terminated successfully
23,0.22924037379229514,True,0,Optimization terminated successfully
23,0.662295488504496,True,0,Optimization terminated successfully
23,0.45330590709264673,True,0,Optimization terminated successfully
